2,0050.TW,0051.TW,0052.TW,0053.TW,0054.TW,0055.TW,0056.TW,0057.TW,0061.TW,006203.TW,006204.TW,006205.TW,006206.TW,006207.TW,006208.TW,00625K.TW,00631L.TW,00632R.TW,00633L.TW,00634R.TW,00635U.TW,00636.TW,00636K.TW,00637L.TW,00638R.TW,00639.TW,00640L.TW,00641R.TW,00642U.TW,00643.TW,00643K.TW,00645.TW,00646.TW,00647L.TW,00648R.TW,00650L.TW,00651R.TW,00652.TW,00653L.TW,00654R.TW,00655L.TW,00656R.TW,00657.TW,00657K.TW,00660.TW,00661.TW,00662.TW,00663L.TW,00664R.TW,00665L.TW,00666R.TW,00668.TW,00668K.TW,00669R.TW,00670L.TW,00671R.TW,00673R.TW,00674R.TW,00675L.TW,00676R.TW,00677U.TW,00678.TW,00680L.TW,00681R.TW,00682U.TW,00683L.TW,00684R.TW,00685L.TW,00686R.TW,00688L.TW,00689R.TW,00690.TW,00692.TW,00693U.TW,00700.TW,00701.TW,00702.TW,00703.TW,00706L.TW,00707R.TW,00708L.TW,00709.TW,00710B.TW,00711B.TW,00712.TW,00713.TW,00714.TW,00715L.TW,00717.TW,008201.TW
0050.TW,1.0,0.9345966079317289,0.8198413912019935,0.9420410542870221,0.5230792003366262,0.8626147577662845,0.7398691650741018,0.9666661038295428,0.826197085159531,0.9854653300740221,0.9500952800018442,0.8753263561466885,0.8608977017106713,0.8728038557091327,0.9132960222241411,0.8753263561466885,0.9709042201952522,-0.9341649390540401,0.8476752106636144,-0.866028838847135,0.32627970485363245,-0.3725976510184091,-0.3725976510184091,0.8429332356944099,-0.8282621198558752,0.8674288549709293,0.7561097051561281,-0.7944376660109695,0.11563026680457557,0.6897724671879765,0.6897724671879765,0.7671935251673573,0.7591165417311296,0.7242636442721867,-0.7343863653976181,0.8251521176631176,-0.840478049959996,0.870579097751786,0.8529503537903907,-0.8794348524131328,0.8371666380430342,-0.8586758004662809,-0.4763589938338427,-0.4763589938338427,0.40424845042095264,0.6835814517785151,0.7432823057730097,0.9456940239308338,-0.9316391461990099,0.8081153260436327,-0.80766140415379,-0.49364214275541146,-0.49364214275541146,-0.7298055671921053,0.6992781746348351,-0.7357323637951712,-0.4547569874276182,-0.5213921104005088,0.9430853255501385,-0.9274891638821459,-0.8323593642843926,0.8395954752328495,0.09679360853692873,-0.5332050265317072,-0.7915827750317682,-0.7980884495536418,0.7562928365068032,0.9464221333721993,-0.9282138551010605,0.12112712183840355,-0.5012187143516447,0.9529108879597824,0.9305746116834831,0.08236311599618669,0.60638336675615,0.47933091513596127,0.2754078830309027,0.588703452082643,-0.12134557762118996,0.0696425977168454,0.23277777274696618,0.5740038737131374,-0.010466283907348,0.03112280194858294,-0.07939021788595682,0.8847886433782718,0.18030319471093614,0.3679483384037033,-0.12530010098467628,0.7728069068712282
0051.TW,0.9345966079317289,1.0,0.876462120728905,0.896242803229818,0.35712223256717146,0.9146899030344839,0.6771091629977719,0.9571584435371183,0.9041618754921593,0.9326323980881497,0.9297577735484872,0.9078347266228962,0.9121682115926687,0.9315814660792543,0.8248690632606783,0.9078347266228962,0.9671391518639813,-0.9717419614863106,0.8702103900047415,-0.9250353697760783,0.4800449595508038,-0.5010235908988643,-0.5010235908988643,0.8656051262185106,-0.8937846731802621,0.9396091552416362,0.7820221100505971,-0.8334645337445756,0.2735847563853618,0.7552099677678404,0.7552099677678404,0.788960641547674,0.8205963588763684,0.7836348616240788,-0.8179005367405275,0.8951232299253579,-0.916841092240566,0.8540210615291479,0.8103779325704562,-0.8926736150892738,0.8632774129510425,-0.9057583309104699,-0.5966656603656556,-0.5966656603656556,0.2803962772124668,0.7081581872217693,0.8137773814645924,0.9744018522894636,-0.9714511423484934,0.8596799653061127,-0.8894860917136086,-0.6045154244255733,-0.6045154244255733,-0.8224311780335528,0.7783937663409105,-0.8230476016014175,-0.6270688476771794,-0.684975914755324,0.9734192678117508,-0.9710113781360623,-0.8456665238466641,0.8242469496895507,-0.003147855582021124,-0.4898938230191932,-0.8580707450928089,-0.8646934845578949,0.7828722360483329,0.9724030995535715,-0.9707712044692454,0.02533784316554698,-0.4545184129078123,0.9359808477225838,0.8610104757846689,0.05960331874200893,0.6527263073817505,0.5640874421048494,0.07035401866212869,0.6856887845529576,0.10936466977193092,-0.15234291029409627,0.3223473573928942,0.4026959469413416,-0.2028687073175617,-0.1884987682908247,-0.26925790656984283,0.8257506475243594,-0.021376308645047946,0.504480144261323,-0.2348839085596211,0.7989633655924908
0052.TW,0.8198413912019935,0.876462120728905,1.0,0.7420451030767446,0.01909435643310379,0.8806255087856254,0.42777680756751124,0.8801444192530872,0.940321893850521,0.8301203198987112,0.749232007264518,0.9035232276350291,0.915476657290109,0.9228993273442978,0.6614730743137248,0.9035232276350291,0.8950536153261421,-0.9258569744715243,0.9008884421411789,-0.9359169655025258,0.3548095091815405,-0.7383511470464257,-0.7383511470464257,0.9007430885685055,-0.942547739241656,0.932784886886292,0.8533835032717175,-0.9046949199303608,0.47845586474959106,0.8652512973011439,0.8652512973011439,0.8689346663401334,0.9041955079477493,0.871098957717939,-0.9064266452232561,0.9184044446041826,-0.9301511867992087,0.8175973258607793,0.7766108166226215,-0.8942538578990651,0.9029850191797684,-0.9350638327028281,-0.8047217972218954,-0.8047217972218954,0.2777710126601052,0.8395236453516329,0.9069626554665446,0.9153689210229428,-0.9278866867331681,0.8896226695022862,-0.9238870029160263,-0.8217108357174681,-0.8217108357174681,-0.9147237955991362,0.8796180428951259,-0.914153250061904,-0.784267330572571,-0.6435744832429616,0.918382756206399,-0.9312748357335381,-0.8300278966148495,0.6410591248577595,-0.22633986269869735,-0.31607890445564346,-0.8168354850475016,-0.8136722958728566,0.6853751475663942,0.9159608751903353,-0.9284577508460924,-0.1939762043664943,-0.27149982761871433,0.8257773941459382,0.6814000631437992,0.15312699406136804,0.7468138253953673,0.5033785884966822,0.02477581768241387,0.7719590883877288,0.058098424025280836,-0.2399876152507115,-0.1750855341119593,0.30540494751117037,-0.5362566675033292,-0.43808527514866097,-0.642303963688682,0.43526450255459004,-0.2740585179593533,0.04170877273675961,-0.34658080932081436,0.8045434615021588
0053.TW,0.9420410542870221,0.896242803229818,0.7420451030767446,1.0,0.6420425549832899,0.7318407081113756,0.7765904898627719,0.9141652951979947,0.7236024258637306,0.9308814479514589,0.9358412954132691,0.7679651947989277,0.7439596839153626,0.7658411009940459,0.9569267554249378,0.7679651947989277,0.905966488468777,-0.8563902338203125,0.7051821423643589,-0.7531102416025787,0.31533016577139855,-0.23493420633022208,-0.23493420633022208,0.6976835032431083,-0.6971110883750956,0.7844781935808267,0.5994899209932646,-0.6509555300847821,-0.04781201127158984,0.5832348898569222,0.5832348898569222,0.6139298955962322,0.599877345009222,0.5463866352292768,-0.5787022993374208,0.6966293589700626,-0.7269960703618102,0.7654713287055915,0.7273731570276097,-0.7551460479157204,0.6901574697115275,-0.7315847600570285,-0.33180320894647614,-0.33180320894647614,0.3668450197248239,0.508646054926694,0.6048549427661536,0.8661452785317852,-0.8521506630110368,0.6851401229022681,-0.6933055626107048,-0.3595257528133992,-0.3595257528133992,-0.5748960884739093,0.5525768343677334,-0.6039769302573118,-0.3170140074812591,-0.4508355385546011,0.8617380529134859,-0.8481705397053397,-0.7105580129586713,0.8103481373757243,0.1391033661510848,-0.5157687099630949,-0.6931073751615288,-0.7126632389496932,0.6778802878436851,0.8660258247605201,-0.84588382231397,0.16636868378174896,-0.47164012247058296,0.9246237499794894,0.958948678723251,0.12308222556281236,0.20591139292850974,0.0515069778193658,0.09927138375215473,0.13210403002469018,-0.0775763102632183,0.15357070175361134,0.11915910485928255,0.23273522563917312,0.2901791185271809,0.11839660362323705,0.17212515249379406,0.6601114582464769,0.21591464585483486,0.05890367686299415,-0.1605195358847192,0.6810561519355702
0054.TW,0.5230792003366262,0.35712223256717146,0.01909435643310379,0.6420425549832899,1.0,0.16279199153343882,0.7387909305254781,0.41503997722108954,0.021091219254850174,0.49730446590447624,0.5934701981659511,0.16608753846679086,0.12953600752835057,0.14147230099314032,0.7081994605506028,0.16608753846679086,0.38016438436133315,-0.2701945759972611,0.07791616827743796,-0.11483540195849444,0.05718420238456329,0.5083381992187139,0.5083381992187139,0.06670796333661633,-0.018278327203981717,0.12425662288207714,-0.07831405550242568,0.04929493997307519,-0.6227314935805593,-0.1251256771903655,-0.1251256771903655,-0.07010727380924196,-0.10094865734287843,-0.14102078706102092,0.1319152931764102,0.03099086430834978,-0.0672778082744328,0.2432978436501047,0.23837259186528326,-0.15224786610933363,0.05337033744739572,-0.08475634434599895,0.40311870536371147,0.40311870536371147,0.14413305768397852,-0.19713093856688996,-0.09366613428127143,0.28967351490350207,-0.2610268171382751,0.046731389908410054,-0.022291792429750098,0.39719826499762084,0.39719826499762084,0.14684789182675037,-0.1407674670100636,0.10530752861766,0.42404926014303873,0.05357913691365698,0.279565293582429,-0.24928404160175738,-0.11829066768352217,0.5373932938251061,0.476625273065186,-0.4368370788866087,-0.1872239938714552,-0.21982498675864265,0.3344210123642734,0.2904891285116938,-0.2515152487146433,0.4806986463255688,-0.42492030819144827,0.4821115973386531,0.48996547216209607,0.0722599068637654,-0.4412604413920502,-0.24934329490346124,0.001558789626456142,-0.5330845231930529,0.006387785097496139,0.19088593065011816,0.3301079272710363,-0.09347428212477163,0.5978159020387682,0.40315400552378644,0.5991409839791768,0.46974028991503514,0.32876631046857135,0.08285328999906033,-0.012130223723350108,0.15435631043259068
0055.TW,0.8626147577662845,0.9146899030344839,0.8806255087856254,0.7318407081113756,0.16279199153343882,1.0,0.6010643163262513,0.9274664533002354,0.9029448250381802,0.8715337410220237,0.8436767306074832,0.911998319606006,0.9436476853020118,0.9404971845941256,0.6891589084935413,0.911998319606006,0.9380579903972863,-0.9612711151359492,0.9073078493887187,-0.9539408410697736,0.4496393751409883,-0.6149597665694102,-0.6149597665694102,0.906928901844068,-0.9435230663454393,0.9083646382294138,0.8114474292808045,-0.8658281267172904,0.4915338284534475,0.7573679649341595,0.7573679649341595,0.8225016011441136,0.9036934826916191,0.8917805061883093,-0.9223356393228007,0.9556351230676622,-0.961538306272227,0.8359507427251246,0.813588285246631,-0.9133628775410102,0.9107520468997501,-0.9449130929517628,-0.7054703915420715,-0.7054703915420715,0.16556550618468727,0.769857806373141,0.911850913015155,0.9573656055848649,-0.9628573355716723,0.9269533162154193,-0.9544196443583547,-0.6987702670885764,-0.6987702670885764,-0.9192704831831815,0.9013984367082527,-0.9214939488762545,-0.7585183159807597,-0.7188319494750474,0.9584597927052119,-0.9630687511261966,-0.8078905825237616,0.7600115213437192,-0.24120202878298727,-0.27753860772144734,-0.9183362821783649,-0.9146341714573379,0.8419028900575313,0.9577816309188071,-0.9653287045509651,-0.22176986586656633,-0.2552544060138608,0.8985863582688338,0.7029084614599734,0.13856158751303221,0.8627624246719604,0.9204411766763235,-0.19704644178410857,0.8788656496565891,0.3810046792759078,-0.5636448480795141,0.37020411220354027,0.2961756593739618,-0.7427230929852189,-0.6088104273760951,-0.7432731752377042,0.5239122676229102,-0.6082141558864731,0.7637792603677109,-0.6180910717846593,0.8310917166835484
0056.TW,0.7398691650741018,0.6771091629977719,0.42777680756751124,0.7765904898627719,0.7387909305254781,0.6010643163262513,1.0,0.740566270609262,0.445775626285389,0.7356043753725563,0.865017384429306,0.5128067850536318,0.5383356915834542,0.5373454844931498,0.8089034350244989,0.5128067850536318,0.7209515790327193,-0.661219428333161,0.4404009923323697,-0.5346401192070631,0.3725542716701835,0.1294224619256192,0.1294224619256192,0.4328427789387147,-0.46026451235273946,0.49000547298975045,0.2649627364294398,-0.33176875113323934,-0.11832062756386788,0.18553088889368663,0.18553088889368663,0.2890447004788647,0.3687832722666049,0.3438026235483244,-0.38317203200914224,0.5018605468184566,-0.5293659387984717,0.5523910346262527,0.5264653683476515,-0.530763707894998,0.4312011933687203,-0.48951825583628417,0.012976580004957692,0.012976580004957692,0.05977083667767329,0.14303580701495358,0.38997152691796066,0.6716456838088196,-0.6559818811022627,0.5291886100774953,-0.5195767254876608,0.02978580398870239,0.02978580398870239,-0.3495723819375792,0.3683106865267852,-0.39330970681173155,-0.09979865714635976,-0.4190475021860687,0.6657004674446056,-0.6468258191729356,-0.38439376767682026,0.8388975694667109,0.019294002822527915,-0.24839953411870433,-0.6472324371799325,-0.6692921316264431,0.7528341707284237,0.6730644797395919,-0.6508504954057693,0.024321598670122714,-0.21990106377718685,0.7810870137585721,0.7230401593730033,0.20414065028501094,0.10771426932926463,0.3538706318388426,-0.3556000838593034,-0.07071186432243261,0.4253371652533657,-0.3440969910782288,0.6199053447003615,0.031248759367864566,0.0015739402050857134,-0.19192568725470285,0.041657752721845395,0.5311082733413073,-0.49356391785001813,0.7056554344696127,-0.7983871055178107,0.5046471850844693
0057.TW,0.9666661038295428,0.9571584435371183,0.8801444192530872,0.9141652951979947,0.41503997722108954,0.9274664533002354,0.740566270609262,1.0,0.8689400083707984,0.9716741858268999,0.9509438679451427,0.8979671788382019,0.9048386916463916,0.9117955831937458,0.8803944845415224,0.8979671788382019,0.9924129847243184,-0.9765293202558165,0.8647398526857071,-0.9157822199006814,0.4043058623404537,-0.46865356396195146,-0.46865356396195146,0.8611739053860163,-0.8836538332272355,0.8987598344058271,0.7545384957958539,-0.8128125450771746,0.27090046295811737,0.719036500150087,0.719036500150087,0.7713661411325416,0.814542570932843,0.782601341813022,-0.8158225899903541,0.892699055339333,-0.9084935521922746,0.85867147364275,0.8299043882688943,-0.8986985754382228,0.8602905945198961,-0.9004853375522326,-0.5716750429718103,-0.5716750429718103,0.26494699153871387,0.6915081218885568,0.8273337062158953,0.9801699574863323,-0.9750104687975866,0.8777846968015456,-0.8931302354945848,-0.5804496347963244,-0.5804496347963244,-0.8086264810496961,0.7975460775396105,-0.8309234895212044,-0.5906622803227923,-0.6299749750540838,0.9784644397667296,-0.9728648573020591,-0.7999857420442266,0.8326200170647906,-0.09366489690596848,-0.38971558876949974,-0.8738415482118357,-0.8806897709441176,0.8261948070060999,0.981392940129314,-0.9737155856217249,-0.06954760044059388,-0.35306197522769367,0.9789319323287631,0.9126093694615522,0.1741466717211155,0.7868090172109716,0.7362179541054661,-0.12525563906212966,0.7377170383604724,0.27697875178122444,-0.366214748949803,0.3609636893538109,0.33736963689738736,-0.4244345915540651,-0.43211343972516464,-0.485822230724546,0.8183178791180288,-0.29836238404772314,0.5265573610770438,-0.5316516958986717,0.8100383989036684
0061.TW,0.826197085159531,0.9041618754921593,0.940321893850521,0.7236024258637306,0.021091219254850174,0.9029448250381802,0.445775626285389,0.8689400083707984,1.0,0.8274967434897115,0.760369678772639,0.9549760055477211,0.958058766717804,0.9761826847214894,0.6301013045225916,0.9549760055477211,0.8918970750418698,-0.9260481025373211,0.9570705333406768,-0.9628572525667668,0.4180682939075641,-0.7211931402823212,-0.7211931402823212,0.9562499667502181,-0.9793322211749174,0.9844311444018247,0.9161964701628543,-0.9408124184190518,0.4979126430874172,0.8863218851475467,0.8863218851475467,0.921391556312113,0.9495022446957299,0.9226422818269464,-0.9277876650851953,0.9457086027593047,-0.9416515184224827,0.8835523434713609,0.8465065330406157,-0.9295745120847722,0.9558123857298318,-0.9632141907785018,-0.7867663045291223,-0.7867663045291223,0.3337027274669073,0.8838094411913939,0.9067181949954809,0.9250688802205608,-0.9293545937393245,0.9214084123366348,-0.9338589650089423,-0.7926304771153148,-0.7926304771153148,-0.9385364823240887,0.8770717495710945,-0.9034220951678854,-0.8005691309866898,-0.6859014701955453,0.927291985070927,-0.9316177690034877,-0.8958302523813406,0.7265086990615796,-0.14988841071457037,-0.38561853929243967,-0.8170157785241093,-0.8065823474470838,0.6812593449348293,0.9237238478711242,-0.9321751469751661,-0.119579023553877,-0.34630001160322066,0.8149539224572939,0.6906392507565854,0.055290897619556585,0.8338394378794931,0.5111951969564186,0.28664245973314967,0.9054011087375221,-0.19824219831219814,-0.026458681192753745,-0.10775233836958754,0.6248241411263228,-0.41326601677399677,-0.22800685095863005,-0.5295200434930251,0.6171690609950705,-0.03071014825607425,0.4450601767045883,-0.1704049290789071,0.8128342489257888
006203.TW,0.9854653300740221,0.9326323980881497,0.8301203198987112,0.9308814479514589,0.49730446590447624,0.8715337410220237,0.7356043753725563,0.9716741858268999,0.8274967434897115,1.0,0.9424792286290589,0.86630249943255,0.8560315493451667,0.8678166221653012,0.9036481817058097,0.86630249943255,0.9684924207672039,-0.9367529902777374,0.8369607128336891,-0.8649645316875253,0.3252732909528788,-0.40078821739795506,-0.40078821739795506,0.8326535474635947,-0.8319735062936331,0.8638796860539176,0.7461043741351546,-0.7895194355500149,0.16050688892468754,0.688421689033985,0.688421689033985,0.7607820038931662,0.762831769165194,0.7278142786928598,-0.7443697495727353,0.828446532366334,-0.844392046896477,0.8543513613886957,0.8338672392642441,-0.8720909985546156,0.8279933556209401,-0.8566742054362577,-0.5018696315831526,-0.5018696315831526,0.36299612292428457,0.6830744066105974,0.7566792231616498,0.9457747754688014,-0.9343656930319157,0.8091115782140402,-0.8149410403316821,-0.5191995709696647,-0.5191995709696647,-0.7388426230133491,0.7158572777785805,-0.7515020623126899,-0.4871152583899411,-0.5304131972522628,0.9433067362602335,-0.9306089633489647,-0.8118555208796746,0.822671589740146,0.044671561352575884,-0.4880493761910634,-0.7977822560658582,-0.8045247793876592,0.760008991675959,0.9472121536752611,-0.9319188912883554,0.06910313770857844,-0.45344304310841077,0.956922392867858,0.9190078731059217,0.13294491169344255,0.6087755314073026,0.5212260010404264,0.15705201102980657,0.6151080524991783,-0.00999550701913624,-0.05225097863822485,0.22776701079386408,0.4818868794165006,-0.13690323249767292,-0.11866666491931023,-0.1958363926666193,0.8548678158398901,0.07351544056033563,0.38979089140921036,-0.19885206491387047,0.7708254149187665
